rank,self,accum,count,method,trace
206,0.03%,89.72%,39,java.lang.Double.longBitsToDouble,30124
207,0.03%,89.75%,39,java.util.Arrays.copyOfRange,30136
208,0.03%,89.78%,39,Lists$py.test$8,30156
209,0.03%,89.81%,39,org.python.core.ArgParser.<init>,30163
210,0.03%,89.83%,39,java.lang.String.toLowerCase,30175
211,0.03%,89.86%,39,org.python.core.PyObject.__call__,30183
212,0.03%,89.89%,38,sun.misc.Unsafe.putObjectVolatile,30078
213,0.03%,89.92%,38,java.lang.System.arraycopy,30079
214,0.03%,89.95%,38,Lists$py.test$8,30156
215,0.03%,89.97%,38,org.python.core.BaseBytes.isupper,30159
216,0.03%,90.00%,38,java.lang.Double.doubleToRawLongBits,30190
217,0.03%,90.03%,38,java.lang.Object.getClass,30194
218,0.03%,90.06%,37,org.python.core.PyBaseCode.call,30119
219,0.03%,90.08%,37,org.python.core.PyFloat.canCoerce,30142
220,0.03%,90.11%,37,org.python.core.PyString._isalpha,30160
221,0.03%,90.14%,36,Lists$py.test$8,30156
222,0.03%,90.16%,36,org.python.core.BaseBytes.islower,30161
223,0.03%,90.19%,36,java.lang.String.charAt,30166
224,0.03%,90.21%,36,java.lang.CharacterData00.getProperties,30174
225,0.03%,90.24%,36,java.lang.Object.getClass,30182
226,0.03%,90.27%,36,org.python.core.PyInteger.getValue,30202
227,0.03%,90.29%,35,org.python.core.PyTuple.<init>,30134
228,0.03%,90.32%,35,java.math.BigInteger.subtract,30155
229,0.03%,90.34%,35,java.lang.Object.getClass,30157
230,0.03%,90.37%,35,java.lang.Character.getType,30173
231,0.03%,90.39%,35,java.lang.CharacterData00.getProperties,30174
232,0.03%,90.42%,35,java.util.Arrays.copyOfRange,30181
233,0.03%,90.45%,35,org.python.core.PyFrame.<init>,30181
234,0.02%,90.47%,34,java.lang.CharacterData00.getProperties,30170
235,0.02%,90.50%,34,java.lang.CharacterData00.getProperties,30175
236,0.02%,90.52%,34,Lists$py.test$8,30207
237,0.02%,90.54%,33,sun.misc.Unsafe.getObjectVolatile,30120
238,0.02%,90.57%,32,java.util.Arrays.copyOf,30086
239,0.02%,90.59%,32,java.lang.System.currentTimeMillis,30183
240,0.02%,90.61%,32,java.lang.CharacterData00.getProperties,30211
241,0.02%,90.64%,31,org.python.core.PyBaseCode.call,30119
242,0.02%,90.66%,31,java.lang.String.length,30123
243,0.02%,90.68%,30,java.util.Arrays.copyOfRange,30040
244,0.02%,90.70%,30,Calls$py.h$6,30133
245,0.02%,90.72%,30,org.python.core.PyString._isupper,30161
